# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
ai 	愛	c=6 d=4.41547 t=1531
ai ren 	愛人	c=0 d=0.0831104 t=1531
ai ren mo ren 	愛人默認	c=2 d=1.67473 t=1531
an 	按	c=1 d=0.907201 t=1531
an qing li 	按情理	c=2 d=1.76391 t=1531
ba 	把	c=2 d=1.42672 t=1531
ban 	半	c=1 d=0.733447 t=1531
ban 	版	c=1 d=0.927743 t=1531
ban 	班	c=1 d=0.771052 t=1531
bang 	幫	c=1 d=0.995012 t=1531
bang ni 	幫你	c=1 d=0.786628 t=1531
bang zhu 	幫助	c=6 d=3.27928 t=1531
bao 	寶	c=3 d=2.49711 t=1531
bao e 	報惡	c=1 d=0.923116 t=1531
bao gui 	寶貴	c=7 d=6.30816 t=1531
bao hu 	保護	c=1 d=0.865022 t=1531
bao jian 	寶劍	c=1 d=0.909373 t=1531
bao kuo 	包括	c=1 d=0.826959 t=1531
bei 	被	c=3 d=2.06758 t=1531
bei hai 	被害	c=1 d=0.640824 t=1531
ben pao 	奔跑	c=1 d=1 t=1531
bi 	比	c=1 d=0.606531 t=1531
bi ci 	彼此	c=4 d=2.9983 t=1531
bi ci xiang ai 	彼此相愛	c=1 d=0.839457 t=1531
bi de 	彼得	c=2 d=1.18141 t=1531
bi jiao 	比較	c=2 d=1.54705 t=1531
bian 	變	c=1 d=0.687289 t=1531
bian lian 	變臉	c=1 d=1 t=1531
bu 	不	c=2 d=1.01323 t=1531
bu guo 	不過	c=1 d=0.970446 t=1531
bu hao 	不好	c=1 d=0.852144 t=1531
bu hao yi si 	不好意思	c=2 d=1.82149 t=1531
bu hui 	不會	c=1 d=0.860708 t=1531
bu kao 	不靠	c=1 d=0.831104 t=1531
bu sui bian 	不隨便	c=1 d=0.985112 t=1531
bu wen ding 	不穩定	c=1 d=0.818731 t=1531
bu xin 	不信	c=3 d=1.53884 t=1531
bu xu yao 	不需要	c=2 d=1.26267 t=1531
bu yao 	不要	c=4 d=2.23504 t=1531
bu yao jin 	不要緊	c=1 d=0.97531 t=1531
bu zhi dao 	不知道	c=1 d=0.802519 t=1531
can jia 	參加	c=2 d=1.44782 t=1531
cha jing 	查經	c=3 d=2.11931 t=1531
cha ju 	差距	c=1 d=0.891366 t=1531
chang 	唱	c=2 d=1.83244 t=1531
chang qi 	長期	c=1 d=0.852144 t=1531
cheng shou 	承受	c=3 d=2.32904 t=1531
cheng wei 	成爲	c=3 d=1.4583 t=1531
cheng yuan 	成員	c=1 d=0.715338 t=1531
chi 	遲	c=1 d=0.869358 t=1531
chi shou 	持守	c=1 d=0.97531 t=1531
chu 	出	c=7 d=3.81127 t=1531
chu 	處	c=1 d=0.860708 t=1531
chu yu 	處於	c=1 d=0.860708 t=1531
chuan 	傳	c=1 d=0.778801 t=1531
chuang shi 	創世	c=1 d=0.980199 t=1531
chuang shi ji 	創世紀	c=1 d=0.99005 t=1531
da 	打	c=3 d=2.76142 t=1531
da an 	答案	c=3 d=1.49492 t=1531
da da 	大大	c=3 d=2.48096 t=1531
da jia 	大家	c=1 d=0.960789 t=1531
dai 	代	c=1 d=0.67032 t=1531
dai biao 	代表	c=1 d=0.831104 t=1531
dai ling 	帶領	c=1 d=0.873716 t=1531
dang shi 	當時	c=2 d=1.56295 t=1531
dao 	到	c=1 d=0.496585 t=1531
dao lu 	道路	c=1 d=0.99005 t=1531
de 	地	c=3 d=1.77342 t=1531
de 	的	c=116 d=24.5745 t=1531
de dao 	得到	c=2 d=1.04194 t=1531
deng 	等	c=1 d=0.625002 t=1531
deng deng 	等等	c=1 d=0.99005 t=1531
deng deng deng deng 	等等等等	c=0 d=0.0995012 t=1531
di 	地	c=2 d=1.87255 t=1531
di 	第	c=1 d=0.995012 t=1531
di wei 	地位	c=2 d=1.77894 t=1531
di xiong 	弟兄	c=1 d=0.927743 t=1531
dian 	點	c=3 d=1.54064 t=1531
dong xi 	東西	c=1 d=0.909373 t=1531
dou 	都	c=2 d=1.58616 t=1531
dou shi 	都是	c=1 d=0.499074 t=1531
du 	讀	c=2 d=1.43975 t=1531
duan lian 	鍛鍊	c=1 d=0.798516 t=1531
dui 	對	c=5 d=2.56614 t=1531
dui dai 	對待	c=4 d=2.74148 t=1531
dui yu 	對於	c=2 d=1.55585 t=1531
dun pai 	盾牌	c=1 d=0.895834 t=1531
duo luo 	墮落	c=1 d=0.985112 t=1531
e 	惡	c=1 d=0.918512 t=1531
e e 	哦哦	c=0 d=0.0985112 t=1531
e e e 	鵝鵝鵝	c=0 d=0.395037 t=1531
e e e e e e e e e e e e e e 	鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝哦哦	c=1 d=0.99005 t=1531
e e e e e e e e e e e e e e e e e e 	鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝	c=1 d=0.995012 t=1531
e ren 	惡人	c=2 d=1.95101 t=1531
en 	恩	c=4 d=3.27154 t=1531
en dian 	恩典	c=8 d=5.49302 t=1531
en en en en 	嗯嗯嗯嗯	c=0 d=0.0980199 t=1531
er 	兒	c=2 d=1.19128 t=1531
er zi 	兒子	c=2 d=1.84153 t=1531
fan er 	反而	c=1 d=0.621885 t=1531
fei chang 	非常	c=2 d=1.50447 t=1531
feng sheng 	豐盛	c=2 d=1.66637 t=1531
fu 	服	c=4 d=1.67142 t=1531
fu cong 	服從	c=1 d=0.737123 t=1531
fu qi 	福氣	c=2 d=0.904837 t=1531
fu shi 	服侍	c=1 d=0.839457 t=1531
fu yin 	福音	c=3 d=1.81051 t=1531
gai 	改	c=1 d=0.891366 t=1531
gai 	該	c=3 d=1.79244 t=1531
gai bian 	改變	c=1 d=0.603506 t=1531
gan hua 	感化	c=1 d=0.759572 t=1531
gan xie 	感謝	c=5 d=4.65283 t=1531
gang hao 	剛好	c=1 d=0.965605 t=1531
gao su 	告訴	c=2 d=1.84209 t=1531
ge 	個	c=3 d=2.07997 t=1531
ge chang 	歌唱	c=1 d=1 t=1531
